Date,Wales,Scotland,England
1961,1401,1489,802
1962,1088,1172,720
1963,993,1222,679
1964,1393,1350,826
1965,1459,1309,922
1966,1502,1542,896
1967,1508,1353,956
1968,1210,1137,817
1969,1334,1381,786
1970,1285,1193,791
1971,1266,1222,735
1972,1223,1195,721
1973,1425,1326,793
1974,1265,1436,808
1975,934,1192,561
1976,1361,1316,903
1977,1336,1370,819
1978,1264,1387,826
1979,1466,1430,894
1980,1528,1524,910
1981,1398,1499,809
1982,1533,1522,882
1983,1152,1331,758
1984,1478,1623,860
1985,1296,1330,801
1986,1447,1538,874
1987,1682,1530,936
1988,1093,1501,635
1989,1396,1669,763
1990,1323,1376,753
1991,1337,1700,778
1992,1390,1487,867
1993,1522,1473,916
1994,1398,1526,825
1995,1091,1120,627
1996,1244,1482,753
1997,1536,1493,915
1998,1638,1678,959
1999,1534,1611,915
2000,1741,1378,1088
2001,1437,1692,837
2002,1346,1234,825
2003,1403,1576,891
2004,1267,1644,741
2005,1340,1403,777
2006,1793,1875,1045
2007,1550,1599,948
2008,1347,1678,778
2009,1417,1409,860
2010,1163,1611,698
2011,1546,1734,966
2012,1371,1379,868
